	121_F_P_sh_R_D_A_01.c3d	121_F_P_sh_R_D_A_01.c3d	121_F_P_sh_R_D_A_01.c3d	121_F_P_sh_R_D_A_01.c3d	121_F_P_sh_R_D_A_01.c3d	121_F_P_sh_R_D_A_01.c3d	121_F_P_sh_R_D_A_01.c3d	121_F_P_sh_R_D_A_01.c3d	121_F_P_sh_R_D_A_02.c3d	121_F_P_sh_R_D_A_02.c3d	121_F_P_sh_R_D_A_02.c3d	121_F_P_sh_R_D_A_02.c3d	121_F_P_sh_R_D_A_02.c3d	121_F_P_sh_R_D_A_02.c3d	121_F_P_sh_R_D_A_02.c3d	121_F_P_sh_R_D_A_02.c3d	121_F_P_sh_R_D_A_03.c3d	121_F_P_sh_R_D_A_03.c3d	121_F_P_sh_R_D_A_03.c3d	121_F_P_sh_R_D_A_03.c3d	121_F_P_sh_R_D_A_03.c3d	121_F_P_sh_R_D_A_03.c3d	121_F_P_sh_R_D_A_03.c3d	121_F_P_sh_R_D_A_03.c3d	121_F_P_sh_R_D_A_08.c3d	121_F_P_sh_R_D_A_08.c3d	121_F_P_sh_R_D_A_08.c3d	121_F_P_sh_R_D_A_08.c3d	121_F_P_sh_R_D_A_08.c3d	121_F_P_sh_R_D_A_08.c3d	121_F_P_sh_R_D_A_08.c3d	121_F_P_sh_R_D_A_08.c3d	121_F_P_sh_R_D_A_09.c3d	121_F_P_sh_R_D_A_09.c3d	121_F_P_sh_R_D_A_09.c3d	121_F_P_sh_R_D_A_09.c3d	121_F_P_sh_R_D_A_09.c3d	121_F_P_sh_R_D_A_09.c3d	121_F_P_sh_R_D_A_09.c3d	121_F_P_sh_R_D_A_09.c3d	121_F_P_sh_R_D_A_10.c3d	121_F_P_sh_R_D_A_10.c3d	121_F_P_sh_R_D_A_10.c3d	121_F_P_sh_R_D_A_10.c3d	121_F_P_sh_R_D_A_10.c3d	121_F_P_sh_R_D_A_10.c3d	121_F_P_sh_R_D_A_10.c3d	121_F_P_sh_R_D_A_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.296855	0.284254	0.436349	0.212802	0.442989	0.524431	0.467203	0.083658	0.218069	0.184860	0.200950	0.109235	0.253123	0.613395	0.431525	0.080817	0.355999	0.089745	0.462716	0.082190	0.293937	0.517121	0.425969	0.181242	0.285447	0.237825	0.430188	0.203645	0.415845	0.632715	0.597511	0.199604	0.301322	0.734643	0.403297	0.123605	0.409502	0.293575	0.511685	0.089360	0.161213	0.399680	0.234455	0.173307	0.294446	0.543556	0.318222	0.117860
2	0.294222	0.282271	0.434587	0.179486	0.440836	0.558218	0.441870	0.079989	0.220476	0.148081	0.194424	0.116287	0.258016	0.584339	0.440505	0.095561	0.356808	0.089286	0.472863	0.083086	0.306490	0.510505	0.397649	0.169493	0.277459	0.240419	0.384844	0.197433	0.415047	0.666013	0.588243	0.209605	0.200855	0.630203	0.411667	0.118603	0.377337	0.295150	0.510211	0.087754	0.144875	0.329466	0.242795	0.170256	0.315899	0.551332	0.328219	0.114648
3	0.296430	0.289467	0.403939	0.168642	0.437599	0.597830	0.434018	0.079813	0.231596	0.127191	0.193645	0.116224	0.262159	0.626700	0.441828	0.102553	0.344524	0.089450	0.473861	0.066084	0.315531	0.506226	0.358155	0.166055	0.274839	0.237253	0.410541	0.204450	0.414632	0.673096	0.587246	0.222180	0.202525	0.590548	0.417038	0.093646	0.391808	0.275150	0.491108	0.095595	0.147266	0.300020	0.271910	0.195198	0.320377	0.537055	0.348217	0.106521
4	0.313559	0.294740	0.371129	0.175853	0.436401	0.598720	0.394565	0.076548	0.224736	0.127695	0.203204	0.119051	0.262272	0.625058	0.453495	0.103129	0.367563	0.091495	0.448367	0.066507	0.316846	0.503623	0.314786	0.165755	0.265062	0.242631	0.437919	0.214175	0.407574	0.671787	0.552250	0.207061	0.219756	0.583046	0.382370	0.090180	0.459300	0.243066	0.479764	0.099388	0.135813	0.303156	0.273776	0.225044	0.332148	0.459800	0.356333	0.101182
5	0.320277	0.295722	0.375549	0.176237	0.399329	0.600332	0.387901	0.072719	0.220199	0.130179	0.235190	0.122534	0.261924	0.629066	0.449419	0.111966	0.430203	0.097757	0.418114	0.068519	0.316588	0.499655	0.301327	0.168337	0.323338	0.251673	0.428081	0.228543	0.382101	0.667593	0.465358	0.194489	0.211383	0.452747	0.369721	0.090688	0.449788	0.225475	0.505222	0.138942	0.141533	0.303713	0.285513	0.229496	0.343130	0.387015	0.349105	0.101028
6	0.323276	0.296534	0.365668	0.172782	0.395901	0.586113	0.404328	0.058935	0.221088	0.128421	0.241093	0.135265	0.264103	0.650810	0.433519	0.132786	0.586388	0.113882	0.406157	0.190762	0.313314	0.495017	0.298719	0.168023	0.333434	0.199929	0.461788	0.226855	0.352888	0.676271	0.333555	0.194379	0.209091	0.251105	0.374073	0.087494	0.443621	0.187850	0.529112	0.146188	0.139918	0.300609	0.283323	0.229515	0.339607	0.360612	0.342760	0.097287
7	0.334979	0.282932	0.320891	0.154062	0.276531	0.496378	0.407673	0.053687	0.216365	0.113302	0.241211	0.132599	0.255181	0.664097	0.402449	0.146567	0.677578	0.109680	0.555996	0.263115	0.305254	0.494690	0.267012	0.164082	0.330058	0.178451	0.491400	0.224448	0.345650	0.677439	0.299047	0.198522	0.209655	0.188478	0.385879	0.084372	0.442845	0.172119	0.537154	0.146931	0.141003	0.294487	0.276076	0.229737	0.347577	0.355429	0.347412	0.091312
