Frame,trial_number,jump_type,ankle_mom_X,ankle_mom_Y,ankle_mom_Z,foot_X,foot_Y,foot_Z,hip_mom_X,hip_mom_Y,hip_mom_Z,hip_X,hip_Y,hip_Z,knee_mom_X,knee_mom_Y,knee_mom_Z,knee_X,knee_Y,knee_Z,pelvis_X,pelvis_Y,pelvis_Z,thorax_X,thorax_Y,thorax_Z
1,1127_M_P_sh_A_p2d_1,lat,0.056422,0.005394,-0.021031,-0.517476,10.207668,-3.754759,0.452469,-0.725365,-0.325062,53.827797,-18.543827,11.451452,-0.193541,-0.261902,0.156313,38.193237,4.137784,-4.671184,31.890987,-7.785778,-5.470361,1.486256,-5.807564,4.334117
1,1127_M_P_sh_A_p2d_1,med,0.126747,0.017266,0.025282,-8.274878,9.456959,3.363626,0.634137,0.610859,0.221203,44.081543,-0.420677,4.539449,-0.344728,0.190825,-0.15402,25.722071,12.39271,-8.194722,29.314631,-9.182329,-5.275363,2.53107,-4.338089,1.735018
1,1127_M_P_sh_A_p2d_2,lat,0.077526,0.016889,-0.001381,0.094296,10.228642,-6.559191,0.327858,-0.528103,-0.140427,48.821831,-18.127602,12.388964,-0.116525,-0.180817,0.129915,39.209877,4.981747,-6.951637,25.969307,-6.204275,-3.507674,3.674332,-5.424361,4.777358
1,1127_M_P_sh_A_p2d_2,med,0.064788,0.00785,0.018619,-3.575536,4.046576,-1.129719,0.651911,0.791568,0.258835,42.507427,-0.763314,1.305115,-0.282915,0.211561,-0.191589,32.938435,11.961385,-5.240948,26.64469,-11.771757,2.204386,-0.468075,-1.962603,3.394775
1,1127_M_P_sh_A_p2d_3,lat,0.174045,0.027127,-0.021027,5.748964,9.510007,-4.447008,0.60886,-0.752473,-0.223786,50.242432,-12.411798,13.14585,-0.163928,-0.249172,0.227611,47.919697,3.766173,0.351398,24.256353,-1.418254,-7.786525,5.145615,-7.252041,8.040846
1,1127_M_P_sh_A_p2d_3,med,0.123384,-0.010672,0.027667,2.732023,3.578502,-3.369719,0.564647,0.794476,0.155048,43.413326,2.572786,2.282767,-0.289641,0.222222,-0.263558,38.856785,16.053068,-5.83975,25.337498,-4.506082,-3.04387,3.937174,-2.141804,-0.068053
1,1127_M_P_sh_A_p2d_4,lat,0.132171,0.020755,-0.013624,2.500813,14.749545,-4.768341,0.323864,-1.102266,-0.424151,44.537876,-23.094139,11.688954,-0.378822,-0.366133,0.16545,30.876373,5.138658,-7.93957,26.876633,-8.566388,2.243765,1.223474,-7.124382,8.553779
1,1127_M_P_sh_A_p2d_4,med,0.142571,-0.02235,0.001785,-0.689222,2.739125,-4.725178,0.440187,0.885988,0.315182,37.161705,-0.339088,7.219079,-0.261237,0.187585,-0.17312,29.774071,11.471767,-9.459787,23.947844,-12.148348,3.088244,0.769705,-0.7167,9.013934
1,1127_M_P_sh_A_p2d_5,lat,0.121099,0.033188,0.008474,3.662714,10.118349,-5.316288,0.36101,-0.712874,-0.237982,45.069477,-16.661371,8.804961,-0.188267,-0.210694,0.151456,37.454979,4.017605,-4.61471,24.018232,-2.251759,-5.988711,-0.110002,-3.59356,6.365891
1,1127_M_P_sh_A_p2d_5,med,0.198814,-0.049743,0.025166,5.828381,0.555009,-4.31364,0.644995,1.076643,0.330628,41.106533,2.319412,5.679951,-0.251618,0.275595,-0.261182,38.869816,12.498305,-3.035639,24.627861,-9.968032,0.465096,1.044216,-0.90541,5.407142
