Frame,trial_number,jump_type,ankle_mom_X,ankle_mom_Y,ankle_mom_Z,foot_X,foot_Y,foot_Z,hip_mom_X,hip_mom_Y,hip_mom_Z,hip_X,hip_Y,hip_Z,knee_mom_X,knee_mom_Y,knee_mom_Z,knee_X,knee_Y,knee_Z,pelvis_X,pelvis_Y,pelvis_Z,thorax_X,thorax_Y,thorax_Z
1,164_P_T3_sh_A_p2d_1,lat,0.150556,0.059733,0.014132,-8.949935,-1.122846,12.195115,0.63377,-0.424241,-0.042968,44.530266,-15.380538,1.804991,-0.130588,-0.074916,0.070839,41.97422,1.911855,-9.881931,20.204704,-3.534233,-16.274199,-1.413207,-2.774739,8.510142
1,164_P_T3_sh_A_p2d_1,med,0.06429,0.015131,-0.006838,-9.851856,0.927318,16.641726,0.418825,0.141295,0.065633,40.190815,-2.1347,-8.465238,-0.193651,-0.022401,-0.018733,41.464771,4.423594,-10.302483,21.282564,-12.401835,-4.160715,-0.949076,2.765418,1.23589
1,164_P_T3_sh_A_p2d_2,lat,0.092758,0.041378,0.014778,-11.970146,-3.856629,12.141547,0.54011,-0.380136,-0.04299,44.142899,-10.427055,5.041715,-0.172761,-0.089338,0.106843,43.286148,-2.522265,-7.308665,17.755522,-4.649261,-18.0035,2.863031,0.827316,7.45589
1,164_P_T3_sh_A_p2d_2,med,0.073432,0.017542,-0.008757,-15.374143,5.475057,17.989025,0.356531,0.36672,0.172589,40.530857,-4.203848,-9.44624,-0.089948,0.047533,-0.056006,40.057991,2.226108,-6.6224,22.120182,-14.931297,-7.247031,-0.209967,3.720425,0.629036
1,164_P_T3_sh_A_p2d_3,lat,0.101386,0.031196,0.003817,-9.378174,-1.028036,12.265639,0.628721,-0.509567,-0.030202,42.437233,-12.974103,4.942761,-0.243246,-0.135782,0.141899,43.568333,-2.446335,-8.639216,16.01836,-3.916162,-16.764858,0.658648,-4.649427,5.356693
1,164_P_T3_sh_A_p2d_3,med,0.084159,0.032105,0.00105,-14.486189,3.357173,19.299934,0.388043,0.389701,0.151231,41.350441,-2.855931,-8.308157,-0.14067,0.104707,-0.108485,39.980305,5.781573,-10.143757,22.811171,-13.638919,-5.049501,-2.013186,2.748392,-0.439578
1,164_P_T3_sh_A_p2d_4,lat,0.080459,0.034412,0.003974,-15.807832,-3.926655,14.125434,0.581753,-0.443089,-0.060745,40.033913,-11.118725,2.969175,-0.201029,-0.124882,0.095155,38.011009,0.806886,-7.063144,17.66358,-0.378141,-16.32794,1.337896,-5.938948,7.108993
1,164_P_T3_sh_A_p2d_4,med,0.052993,0.022479,-0.001154,-12.59934,3.713667,16.327501,0.360593,0.445206,0.176693,40.153217,-0.313069,-4.050865,-0.095498,0.095215,-0.110087,41.425983,10.531252,-12.940617,21.420841,-9.314577,-3.279858,-2.037125,3.047288,-2.26435
1,164_P_T3_sh_A_p2d_5,lat,0.06732,0.023599,0.004528,-8.300481,-0.546897,13.122165,0.465752,-0.574189,-0.103649,40.470592,-12.8399,3.748435,-0.260228,-0.162016,0.139212,39.712769,-0.719231,-10.392131,18.943768,-4.094575,-13.338886,-0.4565,-2.892266,7.955485
1,164_P_T3_sh_A_p2d_5,med,0.048324,-0.002305,-0.01989,-14.427762,6.923104,14.271035,0.188516,0.26572,0.151085,36.940853,-7.400393,-6.906601,-0.073352,-0.000798,-0.021688,38.089966,2.022709,-4.52128,19.065315,-16.741476,-2.725828,-0.536067,1.935209,-0.493016
