Frame,trial_number,jump_type,ankle_mom_X,ankle_mom_Y,ankle_mom_Z,foot_X,foot_Y,foot_Z,hip_mom_X,hip_mom_Y,hip_mom_Z,hip_X,hip_Y,hip_Z,knee_mom_X,knee_mom_Y,knee_mom_Z,knee_X,knee_Y,knee_Z,pelvis_X,pelvis_Y,pelvis_Z,thorax_X,thorax_Y,thorax_Z
1,307_At_T1_sh_ND_p2d_1,lat,0.182551,0.029366,0.014827,-7.250362,2.211958,-6.272819,0.230667,-0.432507,-0.046655,38.681351,-8.242379,0.442507,-0.147647,-0.148625,0.128814,29.841213,-5.089791,-6.3781,27.301701,-2.044557,-1.593084,-0.008277,-4.039648,-6.402235
1,307_At_T1_sh_ND_p2d_1,med,0.01935,0.002325,0.007963,-11.774061,4.000309,-2.843164,0.094709,0.654655,0.156755,29.85899,-0.190418,0.232951,-0.084925,0.219088,-0.038466,14.977474,-1.572101,-8.399867,27.776505,-16.642527,4.947489,-7.043262,3.577758,-15.177561
1,307_At_T1_sh_ND_p2d_2,lat,0.248366,0.038756,0.015362,-9.325214,1.902212,-7.003045,0.055651,-0.268146,-0.011891,38.506432,-8.568372,1.401363,-0.058623,-0.109822,0.090118,29.397787,-3.385735,-10.22031,27.755327,-1.524154,-0.83341,-2.065276,-3.919519,-6.989788
1,307_At_T1_sh_ND_p2d_2,med,0.036356,-0.000587,0.000139,-13.800863,3.728842,-1.217417,0.32592,0.627261,0.113414,31.082817,2.839245,-1.404047,-0.171758,0.174423,-0.043371,16.187483,-1.62486,-8.554001,27.57634,-15.935945,5.610744,-7.580292,6.458751,-12.119911
1,307_At_T1_sh_ND_p2d_3,lat,0.175124,0.056317,0.023111,-10.493158,2.565076,-5.455772,0.066925,-0.298092,-0.013664,36.634277,-8.139443,1.836388,-0.002817,-0.112767,0.094928,29.107975,-5.273657,-6.423589,28.078142,-0.653986,-3.246717,-1.820093,-5.682411,-7.853562
1,307_At_T1_sh_ND_p2d_3,med,0.092006,-0.014629,-0.002897,-8.352982,-1.34462,-2.17502,0.227649,0.642036,0.232677,38.334034,9.079873,8.697485,-0.139381,0.160409,-0.067749,26.978872,-0.840409,-6.602834,30.691227,-12.088974,-7.234887,0.144742,2.581506,-9.985013
1,307_At_T1_sh_ND_p2d_4,lat,0.160668,0.046588,0.033498,-9.402609,1.912143,-6.473874,0.052227,-0.213567,0.001511,38.542645,-7.016494,-0.226076,0.028928,-0.093601,0.104396,31.506454,-4.576411,-8.666414,28.30546,-0.801715,1.217403,-1.271596,-5.765293,-8.663013
1,307_At_T1_sh_ND_p2d_4,med,0.035618,-0.000692,0.003883,-16.888611,4.77983,-1.376478,0.204918,0.572481,0.167057,32.353153,4.419479,5.004021,-0.16711,0.189303,-0.033965,14.736544,-1.033952,-10.303635,29.78767,-12.470593,-0.808665,-5.320338,1.592531,-13.743221
1,307_At_T1_sh_ND_p2d_5,lat,0.125913,0.061998,0.033211,-8.164448,0.92327,-6.088642,-0.033477,-0.264118,-0.028533,36.887753,-9.945545,-1.136597,-0.009999,-0.074015,0.091724,30.479246,-5.213013,-9.295776,27.358332,-1.858382,4.793445,-0.0938,-4.513319,-7.201953
1,307_At_T1_sh_ND_p2d_5,med,0.070818,0.004175,0.014725,-5.582217,0.15738,-0.390209,0.259405,0.875809,0.252139,41.843319,9.314633,2.763961,-0.11525,0.258777,-0.14931,32.92524,1.138896,-8.226413,31.40555,-9.644156,-1.915933,2.983154,3.115888,-9.941596
