Frame,trial_number,jump_type,ankle_mom_X,ankle_mom_Y,ankle_mom_Z,foot_X,foot_Y,foot_Z,hip_mom_X,hip_mom_Y,hip_mom_Z,hip_X,hip_Y,hip_Z,knee_mom_X,knee_mom_Y,knee_mom_Z,knee_X,knee_Y,knee_Z,pelvis_X,pelvis_Y,pelvis_Z,thorax_X,thorax_Y,thorax_Z
1,1107_F_P_sh_A_p2d_1,lat,0.063397,-0.003769,0.001575,1.747811,3.337258,-13.287929,0.263566,-0.291066,-0.097888,49.919918,-11.764007,16.43181,-0.04426,-0.135288,0.11853,41.812653,7.149881,-13.359562,29.84993,-7.170413,3.657064,2.070215,-3.227471,-5.064243
1,1107_F_P_sh_A_p2d_1,med,0.040179,-0.012701,-0.00919,-8.286893,17.694284,-8.585394,0.355304,0.224794,0.127642,46.135677,3.631898,9.57914,-0.200787,-0.036201,-0.009066,26.428337,6.982317,-10.568526,31.641617,-9.384227,6.01271,2.770309,-0.808136,-4.322076
1,1107_F_P_sh_A_p2d_2,lat,0.059153,0.003172,0.008991,-7.819139,6.050382,-8.36269,0.41144,-0.290362,-0.123784,49.351109,-8.771358,18.734587,-0.159392,-0.127554,0.104227,36.404205,0.103826,-3.744134,30.519766,-5.360488,-1.367911,1.104836,-5.19749,-6.813696
1,1107_F_P_sh_A_p2d_2,med,0.03324,-0.020633,-0.022901,-7.861833,16.702654,-6.711959,0.355179,0.039042,0.014794,43.306095,-1.506726,6.051058,-0.056525,-0.061538,-0.002359,29.142834,10.127048,-15.731786,26.468904,-11.591364,9.324747,3.037473,0.097052,-0.609438
1,1107_F_P_sh_A_p2d_3,lat,0.05997,0.001752,0.010469,-10.010348,2.046116,-11.308373,0.358025,-0.324732,-0.182457,45.461994,-8.409967,12.23466,-0.219527,-0.142021,0.078427,26.240641,0.247604,-6.399179,28.648102,-7.220574,-4.527873,4.697411,-1.626832,-2.737219
1,1107_F_P_sh_A_p2d_3,med,0.048743,-0.013997,-0.009403,-9.819985,22.542891,-5.427693,0.176508,0.139449,0.118227,40.008274,-5.143499,12.497678,-0.065305,-0.019431,-0.001925,23.841074,8.039672,-16.799566,26.801207,-16.402834,8.317206,1.17945,1.274839,-4.146404
1,1107_F_P_sh_A_p2d_4,lat,0.048998,-0.003035,0.01361,-9.754611,0.698458,-14.031503,0.587741,-0.221592,-0.065198,49.22522,-10.967402,11.280874,-0.202852,-0.056702,0.058759,36.324848,1.796102,-3.837846,27.35388,-6.811865,-0.467991,1.670917,-4.35237,2.487622
1,1107_F_P_sh_A_p2d_4,med,0.09015,-0.010649,-0.000968,-5.43586,15.882689,-6.465478,0.656899,0.464714,0.197727,35.986259,-0.778285,5.98542,-0.225275,0.141812,-0.103791,25.229895,9.631084,-16.371914,20.106398,-14.288108,14.884168,6.763402,4.096162,-4.267266
1,1107_F_P_sh_A_p2d_5,lat,0.040047,4.5e-05,0.009659,-5.913572,-1.532014,-13.117631,0.368561,0.155222,0.202199,45.853168,-8.786299,7.289854,0.024388,-0.034088,0.059284,42.542946,-0.05492,-2.220864,24.994059,-7.962143,2.375797,9.498431,-4.529892,11.658454
1,1107_F_P_sh_A_p2d_5,med,0.086855,-0.023416,-0.002714,-2.357701,16.183807,-2.978155,0.372436,0.231408,0.122648,42.535027,-1.497204,12.755507,-0.105494,0.083363,-0.057877,24.121309,7.368258,-15.168872,30.932354,-15.16498,0.162555,5.21026,-4.448074,0.189167
2,1107_F_P_sh_A_p2d_1,lat,0.091588,-0.001361,0.004114,1.638073,3.78948,-12.58628,0.276255,-0.289587,-0.103442,49.913425,-11.859765,16.434587,-0.028844,-0.120321,0.108925,41.789619,7.282923,-13.599948,29.838612,-7.102075,3.641872,2.107517,-3.261344,-5.037633
2,1107_F_P_sh_A_p2d_1,med,0.058747,-0.019495,-0.009488,-8.495646,16.952507,-8.754292,0.366073,0.241774,0.146099,46.234928,3.752885,10.061295,-0.189945,-0.02587,-0.011454,26.568758,6.947672,-10.825066,31.649776,-9.575841,6.17521,2.767672,-0.810768,-4.52781
2,1107_F_P_sh_A_p2d_2,lat,0.083182,0.003735,0.011031,-7.82535,6.571554,-8.675546,0.378212,-0.264511,-0.109477,49.147388,-8.813419,18.496857,-0.14657,-0.115333,0.100556,36.249153,-0.000709,-2.906152,30.488306,-5.280219,-1.383271,1.143322,-5.273865,-6.811134
2,1107_F_P_sh_A_p2d_2,med,0.053033,-0.029151,-0.02716,-7.908284,16.20409,-6.984149,0.323054,0.037587,0.018192,43.223675,-1.503241,6.416664,-0.03597,-0.061021,-0.000924,29.047304,10.151138,-16.019152,26.392254,-11.763067,9.50476,3.103214,0.131415,-0.772293
2,1107_F_P_sh_A_p2d_3,lat,0.088376,0.003077,0.012744,-9.90554,2.582154,-11.52341,0.320444,-0.301786,-0.165263,45.432529,-8.442797,12.241067,-0.205975,-0.130339,0.079306,26.415247,0.298906,-5.879573,28.647121,-7.159365,-4.576537,4.731874,-1.630174,-2.768691
2,1107_F_P_sh_A_p2d_3,med,0.082827,-0.023435,-0.011531,-9.695244,21.677143,-5.460484,0.177091,0.152926,0.134149,40.042416,-5.157933,13.078638,-0.045623,-0.014563,-0.002647,24.114658,8.271199,-17.168102,26.703936,-16.541834,8.555098,1.186697,1.286271,-4.483134
2,1107_F_P_sh_A_p2d_4,lat,0.07224,-0.003254,0.013971,-9.760626,1.448571,-13.703137,0.576598,-0.226884,-0.072732,49.164173,-11.1557,11.687162,-0.181133,-0.053245,0.055831,36.356197,2.206854,-4.099412,27.32238,-6.766522,-0.476273,1.689438,-4.36918,2.4498
2,1107_F_P_sh_A_p2d_4,med,0.133491,-0.024714,-0.003897,-5.482258,14.880825,-6.600161,0.585751,0.515398,0.232812,35.823975,-0.729169,6.544538,-0.19159,0.161301,-0.105337,25.055199,9.525262,-16.739059,20.002985,-14.458607,15.19933,6.799984,4.078871,-4.497203
2,1107_F_P_sh_A_p2d_5,lat,0.066322,-0.000916,0.012627,-6.186829,-1.295682,-12.950883,0.339034,0.205295,0.230318,45.799194,-8.450714,7.324497,0.062976,-0.015876,0.0478,42.379009,-0.183102,-2.192235,25.056999,-7.812264,2.381661,9.426396,-4.605912,11.595762
2,1107_F_P_sh_A_p2d_5,med,0.12724,-0.039695,-0.005044,-2.158352,14.832077,-3.320877,0.363162,0.272576,0.150146,42.432556,-1.420323,13.039168,-0.084778,0.103965,-0.064472,24.214928,7.462027,-15.256894,30.782202,-15.266022,0.269229,5.221863,-4.410115,-0.105736
3,1107_F_P_sh_A_p2d_1,lat,0.123668,0.001256,0.006596,1.585565,4.264611,-11.899406,0.290905,-0.288489,-0.108366,49.910011,-11.954489,16.443527,-0.012667,-0.105473,0.099524,41.780602,7.432475,-13.837608,29.829105,-7.031067,3.627028,2.142979,-3.295449,-5.011508
3,1107_F_P_sh_A_p2d_1,med,0.081002,-0.027411,-0.0096,-8.636483,16.14142,-8.902665,0.376748,0.265845,0.170083,46.336269,3.858269,10.55985,-0.178774,-0.012937,-0.015239,26.721355,6.942134,-11.123983,31.663168,-9.772062,6.341665,2.757889,-0.811817,-4.739083
