Frame,trial_number,jump_type,ankle_mom_X,ankle_mom_Y,ankle_mom_Z,foot_X,foot_Y,foot_Z,hip_mom_X,hip_mom_Y,hip_mom_Z,hip_X,hip_Y,hip_Z,knee_mom_X,knee_mom_Y,knee_mom_Z,knee_X,knee_Y,knee_Z,pelvis_X,pelvis_Y,pelvis_Z,thorax_X,thorax_Y,thorax_Z
1,305_At_T2_sh_ND_p2d_1,lat,0.078733,0.000403,-0.014878,-8.959352,7.154931,-1.114776,0.235072,-0.517327,-0.230478,41.093948,-16.240749,10.737707,-0.204196,-0.211199,0.092825,28.474735,1.9331,-3.673651,27.438948,-5.223063,-9.753355,-15.746414,1.204984,-4.045562
1,305_At_T2_sh_ND_p2d_1,med,0.170438,0.002467,-0.001686,-16.040033,4.28,4.769547,0.178391,0.285843,0.197417,36.493637,-2.22885,9.617726,-0.097009,0.035918,-0.025112,22.256514,7.355616,-10.727427,26.490097,-12.286263,2.02266,-16.982456,0.395001,-2.741676
1,305_At_T2_sh_ND_p2d_2,lat,0.103929,0.016508,-0.0005,-4.327756,6.538162,-1.759394,0.187878,-0.404155,-0.169675,41.262791,-14.59076,10.764948,-0.061457,-0.130103,0.086611,33.168438,-0.170189,-3.133418,26.750759,-5.255274,-6.05233,-15.433436,1.736104,-3.923744
1,305_At_T2_sh_ND_p2d_2,med,0.083355,0.012313,1.8e-05,-16.402515,2.095223,2.755104,0.159057,0.483278,0.304047,37.328472,1.583096,7.200558,-0.098444,0.078875,-0.047645,26.009132,8.945569,-11.314453,25.158257,-9.895255,-0.459601,-15.321403,2.665097,3.048079
1,305_At_T2_sh_ND_p2d_3,lat,0.135703,0.021603,-0.004636,-5.246276,8.349895,-0.180303,0.427602,-0.331273,-0.118442,43.967506,-12.665627,13.16438,-0.12018,-0.091454,0.051004,35.150089,1.510087,-3.383974,28.043388,-2.535219,-11.4345,-13.367661,-0.288561,-6.391265
1,305_At_T2_sh_ND_p2d_3,med,0.08208,0.019021,0.004932,-15.397921,2.256835,6.909604,0.15834,0.342494,0.250581,41.190639,4.552512,14.483677,-0.021707,0.130229,-0.058976,26.684904,10.316492,-11.536624,30.204147,-8.221704,-5.645317,-14.505152,4.062997,-6.73168
1,305_At_T2_sh_ND_p2d_4,lat,0.099476,0.012235,-0.010943,-5.389072,6.571719,-0.384924,0.401193,-0.421779,-0.209247,45.571823,-9.926904,14.126534,-0.179864,-0.136759,0.082516,35.911312,1.621675,-1.992523,29.02178,-0.58888,-11.456507,-14.482858,-1.240982,-3.20119
1,305_At_T2_sh_ND_p2d_4,med,0.071089,0.013901,0.000258,-17.112415,1.522662,2.194309,0.121682,0.357943,0.191698,35.046425,2.518508,9.661242,-0.161322,0.093137,-0.058729,18.518164,8.448311,-15.55699,27.262501,-8.952566,-1.729253,-17.896885,3.205105,-2.675794
1,305_At_T2_sh_ND_p2d_5,lat,0.11703,0.025518,-0.002,-6.307317,7.089229,-0.730663,0.499518,-0.43429,-0.17682,46.239517,-13.822213,10.615183,-0.204292,-0.141725,0.083412,33.179981,2.843463,-1.860351,29.938999,-2.634083,-7.653366,-13.833212,0.85576,-3.42901
1,305_At_T2_sh_ND_p2d_5,med,0.144967,-0.015959,-0.026311,-14.270481,1.97548,1.354427,0.085954,0.280571,0.148005,35.220734,1.765399,5.964944,-0.083685,-0.054715,-0.023031,21.10248,9.685501,-15.635363,27.397486,-7.846982,1.901578,-16.303194,1.936372,-0.791222
1,305_At_T2_sh_ND_p2d_6,lat,0.163014,0.024947,-0.008102,-2.545174,8.354309,0.058995,0.394009,-0.457631,-0.191343,41.656788,-11.105024,11.071262,-0.111159,-0.147334,0.092499,36.462723,1.4753,-2.827175,25.471676,-1.58062,-7.685998,-11.897552,0.360361,-6.880612
1,305_At_T2_sh_ND_p2d_6,med,0.146297,0.01745,0.013067,-9.655128,1.756771,4.287096,0.166946,0.574183,0.332357,39.037498,4.167024,5.211861,-0.060508,0.143077,-0.077684,29.731274,10.289785,-9.497939,27.33197,-6.262346,-3.76934,-15.946411,3.199501,0.2483
1,305_At_T2_sh_ND_p2d_7,lat,0.131237,0.028282,-0.006569,-2.907448,9.077517,1.046437,0.44332,-0.532433,-0.267489,42.481316,-9.73907,11.381989,-0.215576,-0.173846,0.108212,34.493229,0.505254,-0.768854,26.392279,-0.510268,-9.801268,-10.262506,0.462721,-5.74302
1,305_At_T2_sh_ND_p2d_7,med,0.085381,0.009057,-0.005914,-9.82436,2.267154,0.67422,-0.025974,0.427928,0.254936,39.808674,2.488597,6.340195,0.067512,0.147936,-0.076157,29.159132,11.4629,-12.371719,27.734592,-6.310811,-1.155462,-14.544805,1.481925,-0.630293
1,305_At_T2_sh_ND_p2d_8,lat,0.105652,0.006336,-0.011858,-4.430938,7.48209,-0.737098,0.471309,-0.460845,-0.184834,43.852055,-10.236713,13.840271,-0.186211,-0.172465,0.108057,34.354614,0.241745,-0.575091,27.44265,-1.159228,-10.623709,-13.004715,0.067193,-5.466805
1,305_At_T2_sh_ND_p2d_8,med,0.153459,-0.004287,-0.003837,-11.034194,1.285682,0.454031,0.188492,0.476689,0.290279,38.860588,4.034504,9.659618,-0.16759,0.084819,-0.074228,24.141012,10.799531,-14.186,28.437672,-6.538022,-1.081113,-16.758816,0.652415,-2.791694
1,305_At_T2_sh_ND_p2d_9,lat,0.12127,0.014968,-0.019235,-3.170145,9.063351,0.18712,0.365698,-0.641445,-0.268055,38.637726,-10.070333,11.157694,-0.125785,-0.211908,0.129017,35.278122,-1.251138,-0.483728,25.426983,-0.705845,-6.954609,-14.32515,0.183233,-4.951375
1,305_At_T2_sh_ND_p2d_9,med,0.10481,0.00956,-0.019563,-14.657269,3.208357,2.897819,0.110328,0.328788,0.223521,40.442307,-0.407853,10.358244,0.019301,0.057584,-0.045674,26.212624,7.083625,-9.216853,27.601187,-11.124886,-0.505439,-14.29105,0.373293,-1.045839
1,305_At_T2_sh_ND_p2d_10,lat,0.189629,0.039388,-0.005671,-5.207181,10.068663,0.731012,0.557436,-0.482434,-0.149347,42.572712,-12.812271,12.293792,-0.19274,-0.144802,0.095766,33.111469,-1.97629,1.072762,25.509809,-3.227637,-11.731039,-12.888812,1.230917,-4.013538
1,305_At_T2_sh_ND_p2d_10,med,0.084427,0.006044,-0.001417,-12.573078,1.453958,3.567368,0.45388,0.836792,0.441961,38.083397,5.395624,5.376124,-0.207299,0.227225,-0.14464,25.35227,9.201624,-10.458347,27.410992,-6.385273,2.995488,,,
2,305_At_T2_sh_ND_p2d_1,lat,0.097256,0.004508,-0.014026,-8.819712,7.317503,-0.950153,0.244954,-0.507492,-0.221749,41.169865,-16.246008,10.920535,-0.200794,-0.204739,0.09008,28.664883,2.095973,-3.847935,27.4683,-5.170953,-9.753767,-15.780396,1.149713,-4.044769
2,305_At_T2_sh_ND_p2d_1,med,0.201246,0.000991,-0.002434,-15.56068,3.954403,4.780624,0.175744,0.279349,0.194925,36.580166,-2.357663,9.747409,-0.072576,0.039024,-0.02402,22.478765,7.469092,-10.755322,26.530731,-12.370515,2.128168,-17.060116,0.436459,-2.799882
